timestamp_local,fecha,hora,punto_id,punto_nombre,lat,lon,nivel,iie,precip_referencia_mm,precip_acum_24h_mm,precip_acum_72h_mm,precip_pron_24h_mm,precip_pron_72h_mm,humedad_suelo_m3m3,saturacion_suelo_pct,subindice_precipitacion,subindice_suelo,temperatura_c,viento_kmh,alerta_smn_color,alerta_smn_cantidad,alerta_smn_eventos,disparadores,accion_recomendada
2026-09-09T01:32:34,2026-09-09,01:32,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,verde,0.9,0.2,0.0,0.0,0.2,8.3,0.096,21.3,1.7,0.0,10.4,16.2,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T01:32:34,2026-09-09,01:32,acceso_meseta,Acceso Meseta,-38.3,-68.85,verde,0.5,0.1,0.0,0.0,0.1,8.9,0.094,20.9,0.8,0.0,11.3,23.1,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T01:32:34,2026-09-09,01:32,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,verde,0.0,0.0,0.0,0.0,0.0,4.9,0.103,22.9,0.0,0.0,10.3,16.6,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T01:38:39,2026-09-09,01:38,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,verde,0.9,0.2,0.0,0.0,0.2,8.3,0.096,21.3,1.7,0.0,10.4,16.2,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T01:38:39,2026-09-09,01:38,acceso_meseta,Acceso Meseta,-38.3,-68.85,verde,0.5,0.1,0.0,0.0,0.1,8.9,0.094,20.9,0.8,0.0,11.3,23.1,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T01:38:39,2026-09-09,01:38,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,verde,0.0,0.0,0.0,0.0,0.0,4.9,0.103,22.9,0.0,0.0,10.3,16.6,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T05:49:42,2026-09-09,05:49,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,verde,0.0,0.0,0.0,0.0,0.0,4.6,0.088,16.6,0.0,0.0,7.3,13.5,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T05:49:42,2026-09-09,05:49,acceso_meseta,Acceso Meseta,-38.3,-68.85,verde,0.0,0.0,0.0,0.0,0.0,5.6,0.086,16.2,0.0,0.0,7.7,19.1,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T05:49:42,2026-09-09,05:49,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,verde,0.0,0.0,0.0,0.0,0.0,2.7,0.102,19.2,0.0,0.0,6.6,5.6,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T06:13:30,2026-09-09,06:13,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,verde,0.0,0.0,0.0,0.0,0.0,4.6,0.088,16.6,0.0,0.0,6.7,12.7,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T06:13:30,2026-09-09,06:13,acceso_meseta,Acceso Meseta,-38.3,-68.85,verde,0.0,0.0,0.0,0.0,0.0,5.6,0.086,16.2,0.0,0.0,7.2,16.8,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-09T06:13:30,2026-09-09,06:13,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,verde,0.0,0.0,0.0,0.0,0.0,2.7,0.102,19.2,0.0,0.0,6.2,5.2,,0,,Sin disparadores. Condiciones normales.,Transitabilidad normal. Sin restricciones.
2026-09-10T01:44:55,2026-09-10,01:44,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,0.1,0.0,0.0,0.1,2.8,0.086,16.2,0.8,0.0,10.9,11.6,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T01:44:55,2026-09-10,01:44,acceso_meseta,Acceso Meseta,-38.3,-68.85,amarillo,50.0,0.3,0.1,0.1,0.3,2.8,0.084,15.8,2.5,0.0,11.8,12.1,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T01:44:55,2026-09-10,01:44,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,0.2,0.0,0.0,0.2,2.3,0.103,19.4,1.7,0.0,10.3,7.4,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T07:55:24,2026-09-10,07:55,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,0.1,0.1,0.1,0.1,2.6,0.09,17.0,0.8,0.0,7.0,4.7,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T07:55:24,2026-09-10,07:55,acceso_meseta,Acceso Meseta,-38.3,-68.85,amarillo,50.0,0.2,0.0,0.0,0.2,2.3,0.087,16.4,1.7,0.0,7.5,6.2,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T07:55:24,2026-09-10,07:55,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,0.0,0.0,0.0,0.0,0.5,0.105,19.8,0.0,0.0,6.8,5.0,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T10:22:18,2026-09-10,10:22,anelo_pueblo,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,1.2,0.1,0.1,1.2,2.8,0.092,17.4,10.0,0.0,10.8,7.3,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T10:22:18,2026-09-10,10:22,acceso_meseta,Acceso Meseta,-38.3,-68.85,amarillo,50.0,0.8,0.0,0.0,0.8,1.7,0.089,16.8,6.7,0.0,11.3,6.3,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T10:22:18,2026-09-10,10:22,tratayen_sur,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,0.6,0.0,0.0,0.6,1.5,0.108,20.4,5.0,0.0,10.3,8.7,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T10:27:33,2026-09-10,10:27,anelo_pueblo,AÑ-01,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,1.2,0.1,0.1,1.2,2.8,0.092,17.4,10.0,0.0,10.8,7.3,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T10:27:33,2026-09-10,10:27,acceso_meseta,AM-02,Acceso Meseta,-38.3,-68.85,amarillo,50.0,0.8,0.0,0.0,0.8,1.7,0.089,16.8,6.7,0.0,11.3,6.3,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T10:27:33,2026-09-10,10:27,tratayen_sur,TR-03,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,0.6,0.0,0.0,0.6,1.5,0.108,20.4,5.0,0.0,10.3,8.7,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T12:10:37,2026-09-10,12:10,anelo_pueblo,AÑ-01,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,1.7,0.1,0.1,1.7,2.8,0.092,17.4,14.2,0.0,14.3,6.2,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T12:10:37,2026-09-10,12:10,acceso_meseta,AM-02,Acceso Meseta,-38.3,-68.85,amarillo,50.0,1.2,0.0,0.0,1.2,1.7,0.089,16.8,10.0,0.0,14.9,3.7,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T12:10:37,2026-09-10,12:10,tratayen_sur,TR-03,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,0.9,0.0,0.0,0.9,1.5,0.107,20.2,7.5,0.0,13.8,10.5,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T13:04:28,2026-09-10,13:04,anelo_pueblo,AÑ-01,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,2.1,0.1,0.1,2.1,2.8,0.092,17.4,17.5,0.0,15.6,4.2,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T13:04:28,2026-09-10,13:04,acceso_meseta,AM-02,Acceso Meseta,-38.3,-68.85,amarillo,50.0,1.5,0.0,0.0,1.5,1.7,0.089,16.8,12.5,0.0,16.2,2.2,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T13:04:28,2026-09-10,13:04,tratayen_sur,TR-03,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,1.2,0.0,0.0,1.2,1.5,0.107,20.2,10.0,0.0,15.4,9.3,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T15:11:41,2026-09-10,15:11,anelo_pueblo,AÑ-01,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,2.4,0.1,0.1,2.4,2.8,0.092,17.4,20.0,0.0,17.5,3.1,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T15:11:41,2026-09-10,15:11,acceso_meseta,AM-02,Acceso Meseta,-38.3,-68.85,amarillo,50.0,1.7,0.0,0.0,1.7,1.7,0.089,16.8,14.2,0.0,18.3,3.2,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T15:11:41,2026-09-10,15:11,tratayen_sur,TR-03,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,1.3,0.0,0.0,1.3,1.5,0.106,20.0,10.8,0.0,17.2,9.5,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T17:36:59,2026-09-10,17:36,anelo_pueblo,AÑ-01,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,3.6,0.1,0.1,3.6,3.7,0.1,18.9,30.0,0.0,17.4,9.4,amarillo,1,Lluvias,Precipitación 3.6 mm (3-7 mm) | Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T17:36:59,2026-09-10,17:36,acceso_meseta,AM-02,Acceso Meseta,-38.3,-68.85,amarillo,50.0,2.9,0.0,0.0,2.9,3.0,0.098,18.5,24.2,0.0,18.1,8.5,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T17:36:59,2026-09-10,17:36,tratayen_sur,TR-03,Tratayén / Sector Sur,-38.483,-68.5,amarillo,50.0,1.8,0.0,0.0,1.8,2.0,0.109,20.6,15.0,0.0,16.6,10.3,amarillo,1,Lluvias,Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
2026-09-10T20:50:49,2026-09-10,20:50,anelo_pueblo,AÑ-01,Añelo Pueblo,-38.353,-68.783,amarillo,50.0,3.6,0.2,0.2,3.6,3.6,0.101,19.1,30.0,0.0,14.4,9.0,amarillo,1,Lluvias,Precipitación 3.6 mm (3-7 mm) | Alerta SMN AMARILLA vigente sobre el punto,Barro en greda. Circular solo con 4x4. Evitar equipos pesados sin escolta.
